date,tree_type,class_value,latitude,longitude
2008-10-01,Urban Street Tree,8,44.9402149,-123.0437278
2008-10-01,Urban Street Tree,8,44.9402173,-123.0368834
2008-10-01,Urban Street Tree,8,44.9402174,-123.0366299
2008-10-01,Urban Street Tree,8,44.9402175,-123.0363764
2008-10-01,Urban Street Tree,8,44.9400348,-123.0439811
2008-10-01,Urban Street Tree,8,44.9400349,-123.0437276
2008-10-01,Urban Street Tree,8,44.9400373,-123.0368833
2008-10-01,Urban Street Tree,8,44.9400374,-123.0366298
2008-10-01,Urban Street Tree,8,44.9400379,-123.0348554
2008-10-01,Urban Street Tree,8,44.940038,-123.0346019
2012-10-01,Black Cottonwood,2,44.9490367,-123.0442415
2012-10-01,Urban Street Tree,8,44.9490368,-123.043988
2012-10-01,Black Cottonwood,2,44.9490369,-123.0437345
2012-10-01,Black Cottonwood,2,44.949037,-123.0434809
2012-10-01,Black Cottonwood,2,44.9490371,-123.0432274
2012-10-01,Black Cottonwood,2,44.9490372,-123.0429739
2012-10-01,Corylus avellana,4,44.9490373,-123.0427203
2012-10-01,Urban Street Tree,8,44.9490374,-123.0424668
2012-10-01,Urban Street Tree,8,44.9490375,-123.0422133
2012-10-01,Urban Street Tree,8,44.9490399,-123.0351143
2012-10-01,Urban Street Tree,8,44.9490399,-123.0348608
2012-10-01,Urban Street Tree,8,44.9488567,-123.0442414
2012-10-01,Urban Street Tree,8,44.9488568,-123.0439879
2012-10-01,Black Cottonwood,2,44.9488568,-123.0437343
2012-10-01,Black Cottonwood,2,44.9488569,-123.0434808
2012-10-01,Black Cottonwood,2,44.948857,-123.0432273
2012-10-01,Black Cottonwood,2,44.9488571,-123.0429737
2012-10-01,Urban Street Tree,8,44.9488572,-123.0427202
2012-10-01,Urban Street Tree,8,44.9488573,-123.0424667
2012-10-01,Urban Street Tree,8,44.9488597,-123.0353678
2012-10-01,Urban Street Tree,8,44.9488598,-123.0351142
2012-10-01,Urban Street Tree,8,44.9488599,-123.0348607
2012-10-01,Urban Street Tree,8,44.9486765,-123.0444948
2012-10-01,Urban Street Tree,8,44.9486766,-123.0442413
2012-10-01,Urban Street Tree,8,44.9486767,-123.0439877
2012-10-01,Black Cottonwood,2,44.9486768,-123.0437342
2012-10-01,Black Cottonwood,2,44.9486769,-123.0434807
2012-10-01,Black Cottonwood,2,44.948677,-123.0432271
2012-10-01,Oregon White Oak,6,44.9486771,-123.0429736
2012-10-01,Urban Street Tree,8,44.9486772,-123.0427201
2012-10-01,Urban Street Tree,8,44.9486773,-123.0424665
2012-10-01,Urban Street Tree,8,44.9486796,-123.0356212
2012-10-01,Urban Street Tree,8,44.9486797,-123.0353677
2012-10-01,Urban Street Tree,8,44.9486798,-123.0351141
2012-10-01,Urban Street Tree,8,44.9486799,-123.0348606
2012-10-01,Urban Street Tree,8,44.9484967,-123.0439876
2012-10-01,Black Cottonwood,2,44.9484968,-123.0437341
2012-10-01,Black Cottonwood,2,44.9484969,-123.0434805
2012-10-01,Black Cottonwood,2,44.948497,-123.043227
2012-10-01,Corylus avellana,4,44.9484971,-123.0429735
2012-10-01,Oregon Ash,5,44.9484972,-123.0424664
2012-10-01,Urban Street Tree,8,44.9484982,-123.0396776
2012-10-01,Urban Street Tree,8,44.9484988,-123.0381564
2012-10-01,Urban Street Tree,8,44.9484997,-123.0353676
2012-10-01,Urban Street Tree,8,44.9484997,-123.035114
2012-10-01,Urban Street Tree,8,44.9483165,-123.044241
2012-10-01,Urban Street Tree,8,44.9483166,-123.0439875
2012-10-01,Black Cottonwood,2,44.9483167,-123.0437339
2012-10-01,Black Cottonwood,2,44.9483168,-123.0434804
2012-10-01,Black Cottonwood,2,44.9483169,-123.0432269
2012-10-01,Corylus avellana,4,44.948317,-123.0429733
2012-10-01,Urban Street Tree,8,44.9483181,-123.039931
2012-10-01,Urban Street Tree,8,44.9483187,-123.0381563
2012-10-01,Urban Street Tree,8,44.9483195,-123.035621
2012-10-01,Urban Street Tree,8,44.9483196,-123.0353674
2012-10-01,Urban Street Tree,8,44.9481364,-123.0444944
2012-10-01,Urban Street Tree,8,44.9481365,-123.0442409
2012-10-01,Black Cottonwood,2,44.9481366,-123.0439873
2012-10-01,Black Cottonwood,2,44.9481367,-123.0437338
2012-10-01,Black Cottonwood,2,44.9481368,-123.0434803
2012-10-01,Bigleaf Maple,1,44.9481369,-123.0432267
2012-10-01,Urban Street Tree,8,44.948137,-123.0429732
2012-10-01,Bigleaf Maple,1,44.9481371,-123.0427197
2012-10-01,Urban Street Tree,8,44.9481381,-123.0399309
2012-10-01,Urban Street Tree,8,44.9481395,-123.0356209
2012-10-01,Urban Street Tree,8,44.9481396,-123.0353673
2012-10-01,Urban Street Tree,8,44.94814,-123.0340997
2012-10-01,Urban Street Tree,8,44.9479562,-123.0450013
2012-10-01,Urban Street Tree,8,44.9479564,-123.0444942
2012-10-01,Black Cottonwood,2,44.9479565,-123.0442407
2012-10-01,Black Cottonwood,2,44.9479565,-123.0439872
2012-10-01,Black Cottonwood,2,44.9479566,-123.0437337
2012-10-01,Black Cottonwood,2,44.9479567,-123.0434801
2012-10-01,Black Cottonwood,2,44.9479568,-123.0432266
2012-10-01,Bigleaf Maple,1,44.9479569,-123.0429731
2012-10-01,Bigleaf Maple,1,44.947957,-123.0427195
2012-10-01,Urban Street Tree,8,44.947958,-123.0401843
2012-10-01,Urban Street Tree,8,44.947958,-123.0399307
2012-10-01,Urban Street Tree,8,44.9479586,-123.0384096
2012-10-01,Urban Street Tree,8,44.9479595,-123.0356207
2012-10-01,Urban Street Tree,8,44.9479595,-123.0353672
2012-10-01,Urban Street Tree,8,44.9479599,-123.0340996
2012-10-01,Urban Street Tree,8,44.9477761,-123.0450012
2012-10-01,Urban Street Tree,8,44.9477763,-123.0444941
2012-10-01,Black Cottonwood,2,44.9477764,-123.0442406
2012-10-01,Black Cottonwood,2,44.9477765,-123.043987
2012-10-01,Black Cottonwood,2,44.9477766,-123.0437335
2012-10-01,Black Cottonwood,2,44.9477767,-123.04348
2012-10-01,Black Cottonwood,2,44.9477768,-123.0432265
2012-10-01,Oregon Ash,5,44.9477769,-123.0429729
2012-10-01,Urban Street Tree,8,44.9477778,-123.0404377
2012-10-01,Urban Street Tree,8,44.9477779,-123.0401841
2012-10-01,Urban Street Tree,8,44.9477795,-123.0353671
2012-10-01,Urban Street Tree,8,44.9477796,-123.0351136
2012-10-01,Urban Street Tree,8,44.9477797,-123.0348601
2012-10-01,Urban Street Tree,8,44.9475961,-123.045001
2012-10-01,Urban Street Tree,8,44.9475963,-123.044494
2012-10-01,Urban Street Tree,8,44.9475964,-123.0442404
2012-10-01,Urban Street Tree,8,44.9475965,-123.0439869
2012-10-01,Urban Street Tree,8,44.9475966,-123.0437334
2012-10-01,Black Cottonwood,2,44.9475967,-123.0434799
2012-10-01,Black Cottonwood,2,44.9475968,-123.0432263
2012-10-01,Black Cottonwood,2,44.9475969,-123.0429728
2012-10-01,Urban Street Tree,8,44.9475978,-123.0404375
2012-10-01,Urban Street Tree,8,44.9475979,-123.040184
2012-10-01,Urban Street Tree,8,44.9475995,-123.0351135
2012-10-01,Urban Street Tree,8,44.9475996,-123.0348599
2012-10-01,Urban Street Tree,8,44.9475998,-123.0343529
2012-10-01,Urban Street Tree,8,44.9475998,-123.0340994
2012-10-01,Urban Street Tree,8,44.947416,-123.0450009
2012-10-01,Urban Street Tree,8,44.9474163,-123.0442403
2012-10-01,Urban Street Tree,8,44.9474164,-123.0439868
2012-10-01,Urban Street Tree,8,44.9474165,-123.0437332
2012-10-01,Urban Street Tree,8,44.9474166,-123.0434797
2012-10-01,Urban Street Tree,8,44.9474167,-123.0432262
2012-10-01,Urban Street Tree,8,44.9474197,-123.0346063
2012-10-01,Urban Street Tree,8,44.9474197,-123.0343528
2012-10-01,Urban Street Tree,8,44.9474198,-123.0340993
2012-10-01,Urban Street Tree,8,44.947236,-123.0450007
2012-10-01,Urban Street Tree,8,44.9472364,-123.0439866
2012-10-01,Urban Street Tree,8,44.9472365,-123.0437331
2012-10-01,Black Cottonwood,2,44.9472366,-123.0434796
2012-10-01,Urban Street Tree,8,44.947056,-123.0450006
2012-10-01,Urban Street Tree,8,44.9470562,-123.0444935
2012-10-01,Urban Street Tree,8,44.9470563,-123.04424
2012-10-01,Urban Street Tree,8,44.9470563,-123.0439865
2012-10-01,Urban Street Tree,8,44.9470564,-123.043733
2012-10-01,Oregon Ash,5,44.9470565,-123.0434794
2012-10-01,Urban Street Tree,8,44.9470577,-123.0404372
2012-10-01,Urban Street Tree,8,44.9470584,-123.0381554
2012-10-01,Urban Street Tree,8,44.9470585,-123.0379019
2012-10-01,Urban Street Tree,8,44.9468759,-123.0450005
2012-10-01,Urban Street Tree,8,44.9468761,-123.0444934
2012-10-01,Urban Street Tree,8,44.9468762,-123.0442399
2012-10-01,Urban Street Tree,8,44.9468763,-123.0439864
2012-10-01,Urban Street Tree,8,44.9468764,-123.0437328
2012-10-01,Urban Street Tree,8,44.9468776,-123.040437
2012-10-01,Black Cottonwood,2,44.9466959,-123.0450003
2012-10-01,Urban Street Tree,8,44.946696,-123.0447468
2012-10-01,Urban Street Tree,8,44.9466961,-123.0444933
2012-10-01,Urban Street Tree,8,44.9466976,-123.0404369
2012-10-01,Urban Street Tree,8,44.9466993,-123.0351129
2012-10-01,Urban Street Tree,8,44.9465158,-123.0450002
2012-10-01,Urban Street Tree,8,44.9465159,-123.0447467
2012-10-01,Urban Street Tree,8,44.9465162,-123.0439861
2012-10-01,Urban Street Tree,8,44.9465163,-123.0437326
2012-10-01,Urban Street Tree,8,44.9465174,-123.0406903
